N°;Prefijo Departamento;Departamento;Provincia;Localidad;Proyecto;Nombre de ODN/ODN Name;Nombre_de_OLT/OLT_Name;OUTDOOR/INDOOR;MODELO DE OLT;NAP (Qty);Usuarios Proyectados;Urb/Rur;OLT Location;RPM;Nombre de OLT (en  el prompt de OLT);Latitud OLT (Grados decimales (DD)) Ej: 41.40338;Longitud OLT (Grados decimales (DD)) Ej: 2.17403.;Status;OLT Upgrade;Fecha ATP ODN/ATP ODN Date;Fecha de Comisionamiento OLT/OLT Commissioning Date;Fecha ATP Instalación Gabinete/ATP Installation Cabinet Date;Fecha ATP OLT de Servicios/Services ATP OLT Date;Fecha ATP OTDR/ATP OTDR Date;Fecha ATP Energía/Date ATP Energy;Sitio de interconexión a OSN (capa 2);Equipo de agregación (Carrier Entel) - A;PUERTO AGREGADOR - A;Equipo de agregación (Carrier Entel) - B;PUERTO AGREGADOR - B;Equipo de agregación (Carrier Entel) - Name Location (Nombre de localidad/sitio);Latitud Agregador (Grados decimales (DD)) Ej: 41.40338;Longitud Agregador (Grados decimales (DD)) Ej: 2.17403.;FECHA DE HABILITACION - NUEVO NETNUMEN;"SEGMENTO
IP OLT GESTIÓN";GATEWAY GESTIÓN;IP OLT GESTIÓN;VLAN TR069;SEGMENTO IP POOL EASY GATEWAY TR069;VLAN DE GESTIÓN;VLANs OUTER PPPoE;VLANs OUTER PPPoE(SECOND);VLANs OUTER VPN & IPoE ;VLAN OUTER TELEFONIA;IP SEGMENTO DE RED TELEFONIA/VOICE SEGMENT;VLAN OUTER IPTV;IP SEGMENTO DE RED IPTV/IPTV SEGMENT;SEGMENTO IP OTDR;GATEWAY IP OTDR;IP OTDR;VLAN OTDR;SEGMENTO IP Modulo de Energia (ETMC);GATEWAY IP Modulo de Energia (ETMC);IP Modulo de Energia (ETMC);VLAN MODULO DE ENERGÍA (ETMC)
33;PTS;POTOSI;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;"Villa San Antonio/
Villa Copacabana";"VILLA_SAN_ANTONIO/
VILLA_COPACABANA";OUTDOOR;ZTE - C600;125;2000;Urban;RBS Entel;EMANUEL IRIARTE;"OLT_VILLA_SAN_ANTONIO/
VILLA_COPACABANA_PTS";-19.56987;-65.7789;;;;;;;;;;"PTS-AGG-CENTRAL-01
PTS-AGG-CENTRAL-02";REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;AGREGADOR CENTRAL 9901 POTOSI;PENDIENTE;PENDIENTE;17/3/2023;10.194.8.216/29;10.194.8.217/29;10.194.8.220;4008;REGIONAL;939;4050;;4052;4053;10.121.192.0/23;2290;10.114.136.0/22;10.36.30.64/28;10.36.30.65/28;10.36.30.68;940;10.129.6.64/28;10.129.6.65/28;10.129.6.68;941
34;PTS;POTOSI;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Porco-Agua de castilla;PORCO-AGUA_DE_CASTILLA;OUTDOOR;ZTE - C650;65;1040;Rural;RBS Entel;EMANUEL IRIARTE;OLT_PORCO-AGUA_DE_CASTILLA_PTS;-19.77024;-65.98353;;;;;;;;;;"PTS-AGG-CENTRAL-01
PTS-AGG-CENTRAL-02";REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;AGREGADOR CENTRAL 9901 POTOSI;PENDIENTE;PENDIENTE;17/3/2023;10.194.8.216/29;10.194.8.217/29;10.194.8.221;4008;REGIONAL;939;4054;;4055;4056;10.121.194.0/23;2291;10.114.140.0/22;10.36.30.64/28;10.36.30.65/28;10.36.30.69;940;10.129.6.64/28;10.129.6.65/28;10.129.6.69;941
35;PTS;POTOSI;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Colquechaca;COLQUECHACA;OUTDOOR;ZTE - C650;50;800;Rural;RBS Entel;EMANUEL IRIARTE;OLT_COLQUECHACA_PTS;-18.70579;-66.00326;;;;;;;;;;"PTS-AGG-LLALLAGUA-01
PTS-AGG-LLALLAGUA-02";REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;AGREGADOR CENTRAL 9901 LLALLAGUA;PENDIENTE;PENDIENTE;17/3/2023;10.249.103.192/28;10.249.103.193/28;10249103196;4008;REGIONAL;939;4080;;4081;4082;10.121.196.0/23;2300;10.114.144.0/23;10.36.30.80/28;10.36.30.81/28;10.36.30.84;940;10.129.6.80/28;10.129.6.81/28;10.129.6.84;941
36;SCZ;SANTA CRUZ;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Las Gramas;LAS_GRAMAS;INDOOR;ZTE - C600;120;1920;Urban;RBS Entel;RODRIGO GUILLEN;OLT_LAS_GRAMAS_SCZ;-17.75283;-63.09828;;;;;;;;;NA;Urb. Cotoca;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;Urb. Cotoca;-17.75283;-63.09828;13/4/2023;10.201.132.16/28 ;10.201.132.17/28 ;10.201.132.20 ;4008;REGIONAL;939;4001;;4000;3900;10.246.80.0/23;2100;10.119.32.0/22;10.36.28.128/28;10.36.28.129/28;10.36.28.132;940;10.36.31.128/28;10.36.31.129/28;10.36.31.132;941
37;SCZ;SANTA CRUZ;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;El Dorado 2;EL_DORADO_2;OUTDOOR;ZTE - C600;127;2032;Urban;RBS Entel;RODRIGO GUILLEN;OLT_EL_DORADO_2_SCZ;-17.74957;-63.07636;;;;;;;;;NA;Urb. Cotoca;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;Urb. Cotoca;-17.75283;-63.09828;13/4/2023;10.201.132.16/28 ;10.201.132.17/28 ;10.201.132.21;4008;REGIONAL;939;4001;;4000;3901;10.246.82.0/23;2101;10.119.36.0/22;10.36.28.128/28;10.36.28.129/28;10.36.28.133;940;10.36.31.128/28;10.36.31.129/28;10.36.31.133;941
38;SCZ;SANTA CRUZ;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Bisito;BISITO;OUTDOOR;ZTE - C600;80;1280;Urban;RBS Entel;RODRIGO GUILLEN;OLT_BISITO_SCZ;-17.79403;-63.02011;;;;;;;;;NA;Cotoca;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;Cotoca;-17.74868;-63.00033;13/4/2023;10.201.132.48/28;10.201.132.49/28;10.201.132.52;4008;REGIONAL;939;4001;;4000;3900;10.246.84.0/23;2100;10.119.40.0/22;10.36.28.144/28;10.36.28.145/28;10.36.28.148;940;10.36.31.144/28;10.36.31.145/28;10.36.31.148;941
39;SCZ;SANTA CRUZ;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Guapilo Sur;PAQUIO;OUTDOOR;ZTE - C600;159;2544;Urban;RBS Entel;RODRIGO GUILLEN;OLT_PAQUIO_SCZ;-17.79435;-63.12352;;;;;;;;;NA;Bolivar;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;Bolivar;-17.79435;-63.12352;13/4/2023;10.201.132.80/28;10.201.132.81/28;10.201.132.84 ;4008;REGIONAL;939;4001;;4000;3902;10.246.86.0/23;2100;10.119.44.0/22;10.36.28.160/28;10.36.28.161/28;10.36.28.164;940;10.36.31.160/28;10.36.31.161/28;10.36.31.164;941
40;SCZ;SANTA CRUZ;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;El Recreo;EL_RECREO;OUTDOOR;ZTE - C600;96;1536;Urban;RBS Entel;RODRIGO GUILLEN;OLT_EL_RECREO_SCZ;-17.88053;-63.09592;;;;;;;;;NA;El Quior;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;El Quior;-17.84325;-63.0944;13/4/2023; 10.201.132.112/28; 10.201.132.113/28;10201132116;4008;REGIONAL;939;4001;;4000;3900;10.246.88.0/23;2100;10.119.48.0/22;10.36.28.176/28;10.36.28.177/28;10.36.28.180;940;10.36.31.176/28;10.36.31.177/28;10.36.31.180;941
41;SCZ;SANTA CRUZ;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Lomas de Arena;LOMAS_DE_ARENA;INDOOR;ZTE - C600;136;2176;Urban;RBS Entel;RODRIGO GUILLEN;OLT_LOMAS_DE_ARENA_SCZ;-17.88936;-63.16851;;;;;;;;;NA;Lomas de Arena;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;Lomas de Arena;-17.88936;-63.16851;13/4/2023;10.201.132.144/28;10.201.132.145/28;10201132148;4008;REGIONAL;939;4001;;4000;3900;10.246.90.0/23;2100;10.119.52.0/22;10.36.28.192/28;10.36.28.193/28;10.36.28.196;940;10.36.31.192/28;10.36.31.193/28;10.36.31.196;941
42;SCZ;SANTA CRUZ;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Final Moscu;FINAL_MOSCU;INDOOR;ZTE - C600;122;1952;Urban;RBS Entel;RODRIGO GUILLEN;OLT_FINAL_MOSCU_SCZ;-17.88686;-63.24121;;;;;;;;;NA;Final Moscu;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;Final Moscu;-17.88686;-63.24121;13/4/2023;10.201.132.176/28;10.201.132.177/28;10201132180;4008;REGIONAL;939;4001;;4000;3900;10.246.92.0/23;2100;10.119.56.0/22;10.36.28.208/28;10.36.28.209/28;10.36.28.212;940;10.36.31.208/28;10.36.31.209/28;10.36.31.212;941
43;TJA;TARIJA;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;Alto SENAC;ALTO_SENAC;OUTDOOR;ZTE - C600;102;1632;Urban;RBS Entel;MARCO ARANA;OLT_ALTO_SENAC_TJA;-21.53723;-64.76223;Programado;;;14-mar.-2023;;;;;;CISCO ASR 9010;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;Alto Senac;-21.53699;-64.76217;17/3/2023;10.57.92.112/28;10.57.92.113/28;10.57.92.117;4008;REGIONAL;939;4009-4010;;4011;4000;10.254.182.0/23;2100;10.153.232.0/22;10.36.30.128/28;10.36.30.129/28;10.36.30.132;2240;10.129.6.128/28;10.129.6.129/28;10.129.6.132;2230
44;TJA;TARIJA;Eustaquio Méndez Arenas;San Lorenzo;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;San Lorenzo;SAN_LORENZO;OUTDOOR;ZTE - C650;78;1248;Rural;Public;MARCO ARANA;OLT_SAN_LORENZO_TJA;-21.41409;-64.74962;Programado;1;14-mar.-2023;1-mar.-2023;14-mar.-2023;15-mar.-2023;15-mar.-2023;15-mar.-2023;;OSN 1800V;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;Alto Senac;-21.41269;-64.74918;17/3/2023;10.57.92.112/28;10.57.92.113/28;10.57.92.118;4008;REGIONAL;939;4012-4013;;4014;4001;10.254.184.0/23;2101;10.153.236.0/22;10.36.30.128/28;10.36.30.129/28;10.36.30.133;2241;10.129.6.128/28;10.129.6.129/28;10.129.6.133;2231
45;TJA;TARIJA;ZTE;ZTE;“AMPLIACIÓN DE COBERTURA FTTH NACIONAL” - GPON FASE 6;El Palmar;EL_PALMAR;OUTDOOR;ZTE - C600;120;1920;Urban;Public;MARCO ARANA;OLT_EL_PALMAR_TJA;-21.92254;-64.64163;;;;;;;;;;CISCO ASR-9901;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;Yacuiba;-21.92222;-64.64251;17/3/2023;10.57.92.240/28;10.57.92.241/28;10.57.92.245;4008;REGIONAL;939;4009-4010;;4011;4000;10.254.186.0/23;2100;10.153.240.0/22;10.36.30.144/28;10.36.30.145/28;10.36.30.148;2240;10.129.6.144/28;10.129.6.145/28;10.129.6.148;2230
46;BNI;BENI;Itenez;BELLA VISTA;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;BELLA_VISTA;OUTDOOR;ZTE - C620;NA;1024;Rural;BELLA VISTA;MAICKOL QUINTEROS;OLT_BELLA_VISTA_BNI;-1,327,206;-6,369,979;;;;;;;;;;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;;10.194.10.38/27;REGIONAL/ZTE;10.194.10.38/27;4008;REGIONAL;939;4011;;4010;4009;10.254.244.0/24;2603;10.248.20.0/24;10.36.30.16/28;10.36.30.17;10.36.30.20;4013;10.129.6.16/28;10.129.6.17;10.129.6.20;4014
47;SCZ;SANTA CRUZ;Obispo Santiestevan;FERNANDEZ ALONZO;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;FERNANDEZ_ALONZO;OUTDOOR;ZTE - C620;NA;1024;Rural;FERNANDEZ ALONZO;DANIEL ABASTO;OLT_FERNANDEZ_ALONZO_SCZ;-1,700,786;-63,230,726;;;;;;;;;Fernandez Alonzo;Warnes SCZ;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;;10.57.92.0/28;10.57.92.1;10.57.92.6;4008;;939;1901;;1900;3904;10.121.64.0/24;2100;10.119.60.0/22;10.129.176.128/28;10,129,176,129;10,129,176,133;940;10.129.180.128/28;10,129,180,129;10,129,180,133;941
48;SCZ;SANTA CRUZ;Sara;LA BELGICA;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;LA_BELGICA;OUTDOOR;ZTE - C620;NA;1024;Rural;LA BELGICA;DANIEL ABASTO;OLT_LA_BELGICA_SCZ;-17,565,436;-63,229,513;;;;;;;;;La Belgica;Warnes SCZ;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;;10.194.9.0/27;10.194.9.1;10.194.9.8;4008;;939;1901;;1900;3905;10.121.65.0/24;2105;10.119.68.0/23;10.36.28.224/28;10.36.28.225;10.36.28.229;940;10.36.31.224/28;10.36.31.225;10.36.31.229;941
49;SCZ;SANTA CRUZ;Obispo Santiestevan;HARDEMAN;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;HARDEMAN;OUTDOOR;ZTE - C620;NA;1024;Rural;HARDEMAN;DANIEL ABASTO;OLT_HARDEMAN_SCZ;-16,680,848;-63,612,673;;;;;;;;;Hardeman;Warnes SCZ;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;;10.57.92.0/28;10.57.92.1;10.57.92.7;4008;;939;1901;;1900;3905;10.121.66.0/24;2100;10.119.78.0/24;10.129.176.128/28;10,129,176,129;10,129,176,134;940;10.129.180.128/28;10,129,180,129;10,129,180,134;941
50;SCZ;SANTA CRUZ;Warnes;LAS BARRERAS;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;LAS_BARRERAS;OUTDOOR;ZTE - C620;NA;1024;Rural;LAS BARRERAS;DANIEL ABASTO;OLT_LAS_BARRERAS_SCZ;-17,445,523;-63,177,962;;;;;;;;;NA;Warnes SCZ;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;;10.194.9.0/27;10.194.9.1;10.194.9.10;4008;;939;1901;;1900;3908;10.121.67.0/24;2107;10.119.74.0/23;10.36.28.224/28;10.36.28.225;10.36.28.231;940;10.36.31.224/28;10.36.31.225;10.36.31.231;941
51;SCZ;SANTA CRUZ;Guarayos;URUBICHA;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;URUBICHA;OUTDOOR;ZTE - C620;NA;1024;Rural;URUBICHA;DANIEL ABASTO;OLT_URUBICHA_SCZ;-15,628,133;-63,087,865;;;;;;;;;Urubicha;San Ramon;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;;10.57.92.64/28;10.57.92.65;10.57.92.69 ;4008;;939;1901;;1900;3903;10.121.68.0/24;2103;10.119.70.0/23;10.36.28.240/28;10.36.28.241;10.36.28.244;940;10.36.31.240/28;10.36.31.241;10.36.31.244;941
52;SCZ;SANTA CRUZ;Guarayos;YAGUARU;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;YAGUARU;OUTDOOR;ZTE - C620;NA;1024;Rural;YAGUARU;DANIEL ABASTO;OLT_YAGUARU_SCZ;-15,608,323;-632.259;;;;;;;;;Yaguaru;San Ramon;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;;10.57.92.64/28;10.57.92.65;10.57.92.70;4008;;939;1901;;1900;3904;10.121.69.0/24;2104;10.119.83.0/24;10.36.28.240/28;10.36.28.241;10.36.28.245;940;10.36.31.240/28;10.36.31.241;10.36.31.245;941
53;SCZ;SANTA CRUZ;Guarayos;YOTAU;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;YOTAU;OUTDOOR;ZTE - C620;NA;1024;Rural;YOTAU;DANIEL ABASTO;OLT_YOTAU_SCZ;-16,176,021;-63,028,549;;;;;;;;;Yotau;San Ramon;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;;10.57.92.64/28;10.57.92.65;10.57.92.71;4008;;939;1901;;1900;3905;10.121.70.0/24;2105;10.119.76.0/23;10.36.28.240/28;10.36.28.241;10.36.28.246;940;10.36.31.240/28;10.36.31.241;10.36.31.246;941
54;SCZ;SANTA CRUZ;Cordillera;BOYUIBE;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;BOYUIBE;OUTDOOR;ZTE - C620;NA;1024;Rural;BOYUIBE;DANIEL ABASTO;OLT_BOYUIBE_SCZ;-20,428,205;-63,275,699;;;;;;;;;Boyuibe;Camiri;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;;10.57.92.32/28;10.57.92.33;10.57.92.37;4008;;939;1901;;1900;3901;10.121.71.0/24;2101;10.119.72.0/23;10.129.176.0/28;10.129.176.1;10.129.176.4;940;10.129.180.0/28;10.129.180.1;10.129.180.4;941
55;SCZ;SANTA CRUZ;Cordillera;CUEVO;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;CUEVO;OUTDOOR;ZTE - C620;NA;1024;Rural;CUEVO;DANIEL ABASTO;OLT_CUEVO_SCZ;-20,452,987;-63,521,023;;;;;;;;;Cuevo;Camiri;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;;10.57.92.32/28;10.57.92.33;10.57.92.38-;4008;;939;1901;;1900;3902;10.121.72.0/24;2102;10.119.82.0/24;10.129.176.0/28;10.129.176.1;10.129.176.5;940;10.129.180.0/28;10.129.180.1;10.129.180.5;941
56;SCZ;SANTA CRUZ;Andrés Ibañez;JOROCHITO;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;JOROCHITO;OUTDOOR;ZTE - C620;NA;1024;Rural;JOROCHITO;DANIEL ABASTO;OLT_JOROCHITO_SCZ;-18,053,107;-63,427,948;;;;;;;;;Jorochito;La Guardia;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;;10.129.191.64/28;10.129.191.65;10.129.191.68;4008;;939;1901;;1900;3901;10.121.73.0/24;2101;10.119.79.0/24;10.129.176.16/28;10.129.176.17;10.129.176.20;940;10.129.180.16/28;10.129.180.17;10.129.180.20;941
57;SCZ;SANTA CRUZ;German Busch;EL CARMEN RIVERO TORREZ;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;EL_CARMEN_RIVERO_TORREZ;INDOOR;ZTE - C620;NA;1024;Rural;EL CARMEN RIVERO TORREZ;DANIEL ABASTO;OLT_EL_CARMEN_RIVERO_TORREZ_SCZ;-18,826,875;-58,625,422;;;;;;;;;El Carmen Rivero Torrez;Robore;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;;10.194.9.32/27;10.194.9.33;10.194.9.37;4008;;939;1901;;1900;3901;10.121.74.0/24;2101;10.119.64.0/22;10.129.176.32/28;10.129.176.33;10.129.176.36;940;10.129.180.32/28;10.129.180.33;10.129.180.36;941
58;SCZ;SANTA CRUZ;Velasco;SAN RAFAEL;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;SAN_RAFAEL;INDOOR;ZTE - C620;NA;1024;Rural;SAN RAFAEL;DANIEL ABASTO;OLT_SAN_RAFAEL_SCZ;-16,783,795;-60,678,499;;;;;;;;;San Rafael;San Ignacio de Velasco;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;;10.249.103.224/29;10249103225;10249103228;4008;;939;1901;;1900;3903;10.121.75.0/24;2103;10.119.80.0/24;10.129.176.48/28;10.129.176.49;10.129.176.52;940;10.129.180.48/28;10.129.180.49;10.129.180.52;941
59;SCZ;SANTA CRUZ;Cordillera;ABAPO;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;ABAPO;INDOOR;ZTE - C620;NA;1024;Rural;ABAPO;DANIEL ABASTO;OLT_ABAPO_SCZ;-18,905,417;-63,401,447;;;;;;;;;NA;Abapo;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;;10.129.191.112/28;10.129.191.113/28;10,129,191,116;4008;;939;1901;;1900;3904;10.121.76.0/24;2104;10.119.84.0/24;10.129.176.64/28;10.129.176.65;10.129.176.68;940;10.129.180.64/28;10.129.180.65;10.129.180.68;941
60;SCZ;SANTA CRUZ;Andrés Ibañez;LA ENCONADA;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;CAMPANERO_LA_ENCONADA;OUTDOOR;ZTE - C620;NA;1024;Rural;LA ENCONADA;DANIEL ABASTO;OLT_CAMPANERO_LA_ENCONADA_SCZ;-17,735,082;-62,938,158;;;;;;;;;NA;Cotoca;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;;10.201.132.48/28;10.201.132.49;10.201.132.53;4008;;939;1901;;1900;3902;10.121.77.0/24;2102;10.119.81.0/24;10.36.28.144/28;10.36.28.145/28;10.36.28.149;940;10.36.31.144/28;10.36.31.145/28;10.36.31.149;941
61;SCZ;SANTA CRUZ;Andrés Ibañez;PEDRO LORENZO;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;PEDRO_LORENZO;OUTDOOR;ZTE - C620;NA;1024;Rural;PEDRO LORENZO;DANIEL ABASTO;OLT_PEDRO_LORENZO_SCZ;-17,952,625;-63,250,858;;;;;;;;;Pedro Lorenzo;El Bacon;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;;10.201.131.0/27;10.201.131.1;10.201.131.8;4008;;939;1901;;1900;3902;10.121.78.0/24;2104;10.119.85.0/24;10.129.176.80/28;10.129.176.81;10.129.176.84;940;10.129.180.80/28;10.129.180.81;10.129.180.84;941
62;CBB;COCHABAMBA;Quillacollo;PAROTANI;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;PAROTANI;OUTDOOR;ZTE - C620;NA;1024;Rural;PAROTANI;MAICKOL QUINTEROS;OLT_PAROTANI_CBB;-17,569,384;-66,349,815;;;;;;;;;;CENTRAL COCHABAMBA;CBB-CE-CENTRAL-01 0/4/2/0;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;;10.201.129.224/27;10.201.129.225;10201129244;4008;;939;1230;;1710;3969;10.247.76.0/24;4000;10.119.184.0/23;10.36.29.112/28;10.36.29.113;10.36.29.116;940;10.129.5.112/28;10.129.5.113;10.129.5.116;941
63;CBB;COCHABAMBA;Tiraque;IBUELO;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;IBUELO;OUTDOOR;ZTE - C620;NA;1024;Rural;IBUELO;MAICKOL QUINTEROS;OLT_IBUELO_CBB;-16,975,129;-65,339,722;;;;;;;;;;Brazo A: AGG Villa Tunari-03, Brazo B Fo a Shinahota para trama a AGG Valle Central-01;CBB-AGG-VILLA-TUNARI-03 0/0/0/10 CBB-AGG-VALLE-CENTRAL-01 0/0/0/10;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;;10.249.103.240/28;10.249.103.241;10249103244;4008;;939;1231;;1710;3970;10.247.77.0/24;4000;10.119.168.0/22;10.129.177.0/28;10.129.177.1;10.129.177.4;940;10.129.181.0/28;10.129.181.1;10.129.181.4;941
64;CBB;COCHABAMBA;Carrasco;PUERTO VILLARROEL;"""PROVISIÓN E IMPLEMENTACIÓN DE OLTs Y OTDRs."" - GPON RURAL 1";NA;PUERTO_VILLARROEL;OUTDOOR;ZTE - C620;NA;1024;Rural;PUERTO VILLARROEL;MAICKOL QUINTEROS;OLT_PUERTO_VILLARROEL_CBB;-16,841,639;-64,795,167;;;;;;;;;;Por DWDM Ivirgarzama Brazo A: AGG Villa Tunari-03, Brazo B  AGG Valle Central-01;CBB-AGG-VILLA-TUNARI-03 0/0/0/11 CBB-AGG-VALLE-CENTRAL-01 0/0/0/11;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;REGIONAL/ZTE;;10.249.103.240/28;10.249.103.241;10249103245;4008;;939;1232;;1711;3971;10.247.78.0/24;4001;10.119.172.0/22;10.129.177.0/28;10.129.177.1;10.129.177.5;940;10.129.181.0/28;10.129.181.1;10.129.181.5;941
